"Date","Price","Open","High","Low","Vol.","Change %"
"08/19/2022","23.17","23.99","24.07","22.99","","-2.89%"
"08/18/2022","23.86","23.86","24.20","23.59","","0.55%"
"08/17/2022","23.73","23.97","24.21","23.50","","-2.39%"
"08/16/2022","24.31","23.82","24.91","23.31","","2.01%"
"08/15/2022","23.83","24.24","24.42","23.76","","2.76%"
"08/12/2022","23.19","23.52","23.84","23.18","","-2.60%"
"08/11/2022","23.81","24.46","24.62","23.77","","-6.77%"
"08/10/2022","25.54","23.86","26.54","23.55","","8.91%"
"08/09/2022","23.45","24.42","24.82","23.43","","-4.83%"
"08/08/2022","24.64","24.84","25.18","24.61","","2.71%"
"08/05/2022","23.99","25.11","25.14","23.99","","-5.29%"
"08/04/2022","25.33","25.34","25.74","25.18","","-5.80%"
"08/03/2022","26.89","26.99","27.41","26.11","","-7.21%"
"08/02/2022","28.98","27.63","29.81","27.63","","12.72%"
"08/01/2022","25.71","26.37","26.75","25.38","","4.13%"
"07/29/2022","24.69","22.81","25.25","22.17","","3.65%"
"07/28/2022","23.82","24.97","24.99","23.74","","-5.40%"
"07/27/2022","25.18","25.56","25.56","24.86","","-0.43%"
"07/26/2022","25.29","26.62","26.65","25.13","","-5.49%"
"07/25/2022","26.76","28.36","28.63","26.66","","0.07%"
"07/22/2022","26.74","27.26","27.36","26.73","","-3.36%"
"07/21/2022","27.67","27.66","27.72","27.04","","1.17%"
"07/20/2022","27.35","27.99","28.02","27.27","","-5.17%"
"07/19/2022","28.84","29.40","29.46","28.66","","-1.06%"
"07/18/2022","29.15","30.04","30.60","29.12","","-2.74%"
"07/15/2022","29.97","29.01","30.28","27.89","","4.43%"
"07/14/2022","28.70","28.90","29.29","28.08","","0.00%"
"07/13/2022","28.70","28.93","28.98","28.30","","-1.58%"
"07/12/2022","29.16","28.87","29.27","28.46","","2.46%"
"07/11/2022","28.46","27.76","28.81","27.72","","8.13%"
"07/08/2022","26.32","27.77","27.77","26.24","","-5.76%"
"07/07/2022","27.93","28.81","29.03","27.93","","-2.95%"
"07/06/2022","28.78","29.28","29.87","28.66","","-2.21%"
"07/05/2022","29.43","29.53","29.80","29.32","","-2.78%"
"07/04/2022","30.27","31.45","31.91","30.23","","-1.37%"
"06/30/2022","30.69","30.57","31.29","29.91","","-0.36%"
"06/29/2022","30.80","30.56","31.01","30.30","","1.25%"
"06/28/2022","30.42","30.48","30.92","29.99","","-1.93%"
"06/27/2022","31.02","30.15","31.36","30.15","","3.99%"
"06/24/2022","29.83","29.90","30.10","29.56","","0.54%"
"06/23/2022","29.67","29.56","29.79","29.22","","-1.00%"
"06/22/2022","29.97","29.01","30.10","28.90","","3.34%"
"06/21/2022","29.00","30.10","30.16","28.85","","-5.10%"
"06/20/2022","30.56","31.61","32.05","30.56","","-1.64%"
"06/17/2022","31.07","32.03","32.03","31.06","","-1.83%"
"06/16/2022","31.65","29.49","31.94","29.45","","2.23%"
"06/15/2022","30.96","30.95","31.05","29.76","","-0.48%"
"06/14/2022","31.11","32.54","32.59","30.20","","-1.36%"
"06/13/2022","31.54","30.80","31.60","29.04","","13.95%"
"06/10/2022","27.68","28.46","28.46","27.29","","0.87%"
"06/09/2022","27.44","27.49","28.02","27.44","","-1.33%"
"06/08/2022","27.81","27.89","28.11","27.71","","-0.64%"
"06/07/2022","27.99","28.27","28.43","27.86","","-0.96%"
"06/06/2022","28.26","28.06","28.56","27.59","","2.35%"
"06/02/2022","27.61","27.39","27.71","27.27","","2.03%"
"06/01/2022","27.06","27.43","27.68","27.03","","-1.49%"
"05/31/2022","27.47","27.69","27.74","27.21","","-0.97%"
"05/30/2022","27.74","28.37","28.48","27.61","","-2.19%"
"05/27/2022","28.36","28.81","29.21","28.25","","-7.08%"
"05/26/2022","30.52","31.09","32.51","30.45","","-2.59%"
"05/25/2022","31.33","32.25","33.32","30.44","","-1.97%"
"05/24/2022","31.96","31.54","32.34","31.12","","1.08%"
"05/23/2022","31.62","26.42","32.48","26.42","","0.38%"
"05/20/2022","31.50","31.33","31.74","31.02","","-3.70%"
"05/19/2022","32.71","33.44","33.51","32.19","","6.03%"
"05/18/2022","30.85","31.53","31.79","30.85","","-3.29%"
"05/17/2022","31.90","31.57","32.33","31.13","","-3.13%"
"05/16/2022","32.93","32.61","33.55","32.61","","-0.78%"
"05/13/2022","33.19","34.23","34.30","32.96","","-6.16%"
"05/12/2022","35.37","34.91","35.76","33.84","","2.88%"
"05/11/2022","34.38","35.85","35.85","34.23","","-3.29%"
"05/10/2022","35.55","36.11","37.96","34.61","","7.89%"
"05/06/2022","32.95","32.17","33.62","31.89","","11.28%"
"05/05/2022","29.61","28.96","29.73","28.81","","-2.79%"
"05/04/2022","30.46","30.73","31.01","30.30","","-2.75%"
"05/03/2022","31.32","31.99","32.76","31.19","","-0.60%"
"04/29/2022","31.51","31.07","31.89","29.68","","0.22%"
"04/28/2022","31.44","32.87","33.24","28.95","","-6.71%"
"04/27/2022","33.70","35.08","35.08","30.41","","-1.06%"
"04/26/2022","34.06","34.61","34.78","31.63","","-3.05%"
"04/25/2022","35.13","33.60","36.19","32.10","","21.35%"
"04/22/2022","28.95","30.47","30.83","28.48","","0.14%"
"04/21/2022","28.91","28.26","29.75","27.36","","4.14%"
"04/20/2022","27.76","28.63","28.72","26.88","","-5.16%"
"04/19/2022","29.27","29.24","30.45","28.59","","5.71%"
"04/14/2022","27.69","28.04","28.28","27.53","","-3.59%"
"04/13/2022","28.72","30.37","30.52","27.94","","-6.08%"
"04/12/2022","30.58","30.82","31.70","29.80","","-2.92%"
"04/11/2022","31.50","28.33","32.01","28.33","","16.36%"
"04/08/2022","27.07","27.61","28.08","27.05","","-2.73%"
"04/07/2022","27.83","27.53","28.29","26.70","","3.19%"
"04/06/2022","26.97","25.56","27.01","25.56","","7.45%"
"04/05/2022","25.10","25.10","25.10","25.10","","0.00%"
"04/04/2022","25.10","25.10","25.10","25.10","","-2.75%"
"04/01/2022","25.81","27.66","27.79","25.65","","-0.04%"
"03/31/2022","25.82","26.76","27.65","25.75","","-3.51%"
"03/30/2022","26.76","27.18","27.28","26.02","","-5.01%"
"03/29/2022","28.17","28.90","28.91","28.00","","-6.60%"
"03/28/2022","30.16","32.06","32.48","29.98","","-4.44%"
"03/25/2022","31.56","29.26","32.36","28.42","","9.93%"
"03/24/2022","28.71","28.87","28.89","27.29","","1.52%"
"03/23/2022","28.28","29.21","29.38","27.93","","-5.95%"
"03/22/2022","30.07","33.05","33.06","29.74","","-11.27%"
"03/21/2022","33.89","33.96","34.81","33.64","","2.05%"
"03/18/2022","33.21","37.25","37.25","33.17","","-11.63%"
"03/17/2022","37.58","43.26","43.26","36.93","","-8.56%"
"03/16/2022","41.10","41.91","45.16","39.72","","-16.87%"
"03/15/2022","49.44","41.95","50.83","40.45","","30.04%"
"03/14/2022","38.02","34.28","38.51","34.28","","19.75%"
"03/11/2022","31.75","32.27","34.10","30.86","","4.27%"
"03/10/2022","30.45","30.72","31.32","29.84","","-6.60%"
"03/09/2022","32.60","32.11","36.38","31.45","","-3.86%"
"03/08/2022","33.91","32.49","34.83","31.46","","1.86%"
"03/07/2022","33.29","33.16","35.80","31.81","","19.15%"
"03/04/2022","27.94","28.53","28.87","27.19","","7.67%"
"03/03/2022","25.95","26.44","26.85","25.76","","-6.69%"
"03/02/2022","27.81","26.97","28.29","26.43","","9.19%"
"03/01/2022","25.47","26.45","26.45","25.12","","-5.63%"
"02/28/2022","26.99","27.16","28.65","26.86","","1.58%"
"02/25/2022","26.57","25.90","27.10","25.82","","-9.87%"
"02/24/2022","29.48","27.97","31.59","27.23","","16.38%"
"02/23/2022","25.33","26.01","26.10","25.12","","-7.96%"
"02/22/2022","27.52","27.15","28.67","26.37","","12.65%"
"02/21/2022","24.43","25.62","25.66","24.35","","-2.32%"
"02/18/2022","25.01","25.02","25.09","24.15","","5.88%"
"02/17/2022","23.62","23.59","24.60","23.22","","-0.04%"
"02/16/2022","23.63","23.98","24.10","23.35","","-6.75%"
"02/15/2022","25.34","25.03","25.94","24.81","","0.44%"
"02/14/2022","25.23","25.06","25.76","24.83","","8.75%"
"02/11/2022","23.20","23.16","23.53","22.56","","4.93%"
"02/10/2022","22.11","22.05","22.44","21.77","","-0.54%"
"02/09/2022","22.23","22.21","22.28","21.98","","-1.38%"
"02/08/2022","22.54","22.87","23.29","22.53","","-2.80%"
"02/07/2022","23.19","23.47","23.92","23.19","","1.18%"
"02/04/2022","22.92","23.18","23.57","22.58","","-5.45%"
"01/31/2022","24.24","25.39","25.83","24.00","","-4.30%"
"01/28/2022","25.33","24.82","25.45","24.35","","-1.71%"
"01/27/2022","25.77","24.95","27.02","24.67","","8.23%"
"01/26/2022","23.81","23.74","24.00","23.29","","-1.73%"
"01/25/2022","24.23","23.40","25.02","23.23","","10.69%"
"01/24/2022","21.89","21.82","21.97","21.30","","7.20%"
"01/21/2022","20.42","19.95","20.99","19.69","","6.74%"
"01/20/2022","19.13","18.94","19.28","18.94","","-0.26%"
"01/19/2022","19.18","18.96","19.81","18.81","","2.57%"
"01/18/2022","18.70","18.43","18.95","18.26","","-0.74%"
"01/17/2022","18.84","19.10","19.25","18.80","","2.34%"
"01/14/2022","18.41","18.68","18.73","18.19","","1.49%"
"01/13/2022","18.14","18.14","18.45","18.10","","-2.89%"
"01/12/2022","18.68","18.07","18.90","17.91","","0.76%"
"01/11/2022","18.54","19.09","19.09","18.22","","-0.59%"
"01/10/2022","18.65","19.20","19.22","18.49","","0.11%"
"01/07/2022","18.63","19.20","19.41","18.50","","-4.07%"
"01/06/2022","19.42","19.79","20.41","19.08","","-3.19%"
"01/05/2022","20.06","18.69","20.12","18.68","","7.16%"
"01/04/2022","18.72","18.99","19.20","18.46","","-3.60%"
"01/03/2022","19.42","19.40","19.98","19.35","","-0.66%"
"12/31/2021","19.55","19.25","19.67","19.24","","-3.03%"
"12/30/2021","20.16","20.28","20.46","19.82","","-3.49%"
"12/29/2021","20.89","20.09","21.07","20.09","","2.50%"
"12/28/2021","20.38","20.37","20.74","20.21","","2.46%"
"12/24/2021","19.89","19.56","20.11","19.54","","-0.15%"
"12/23/2021","19.92","20.25","20.53","19.76","","-3.63%"
"12/22/2021","20.67","21.08","21.27","20.66","","-4.75%"
"12/21/2021","21.70","22.98","23.03","21.40","","-8.90%"
"12/20/2021","23.82","22.47","24.32","22.26","","11.41%"
"12/17/2021","21.38","20.38","21.56","20.33","","6.85%"
"12/16/2021","20.01","20.58","21.21","19.89","","-4.07%"
"12/15/2021","20.86","20.63","21.16","20.01","","1.21%"
"12/14/2021","20.61","20.24","20.74","19.49","","5.91%"
"12/13/2021","19.46","19.46","19.58","19.11","","-2.06%"
"12/10/2021","19.87","20.71","20.71","19.66","","0.05%"
"12/09/2021","19.86","20.02","20.22","19.79","","-6.76%"
"12/08/2021","21.30","21.67","21.84","21.15","","-5.79%"
"12/07/2021","22.61","23.26","23.81","22.30","","-11.12%"
"12/06/2021","25.44","25.07","25.66","24.60","","10.37%"
"12/03/2021","23.05","24.19","24.85","23.03","","-1.79%"
"12/02/2021","23.47","24.25","24.25","22.91","","0.60%"
"12/01/2021","23.33","23.38","23.45","22.24","","-3.83%"
"11/30/2021","24.26","22.85","26.99","22.59","","-2.69%"
"11/29/2021","24.93","25.04","25.40","23.53","","4.35%"
"11/26/2021","23.89","20.65","23.98","20.56","","23.34%"
"11/25/2021","19.37","20.21","20.39","19.31","","-3.30%"
"11/24/2021","20.03","20.29","20.44","19.75","","-2.10%"
"11/23/2021","20.46","20.31","20.49","19.95","","4.33%"
"11/22/2021","19.61","19.89","19.97","19.60","","1.40%"
"11/19/2021","19.34","20.11","20.14","19.32","","1.42%"
"11/18/2021","19.07","19.13","19.49","18.81","","2.14%"
"11/17/2021","18.67","19.13","19.23","18.60","","-1.48%"
"11/16/2021","18.95","19.40","19.43","18.78","","-3.32%"
"11/15/2021","19.60","20.26","20.27","19.60","","-0.36%"
"11/12/2021","19.67","19.75","19.99","19.41","","-1.60%"
"11/11/2021","19.99","20.36","20.39","19.65","","-0.94%"
"11/10/2021","20.18","20.59","21.28","20.00","","0.60%"
"11/09/2021","20.06","20.54","20.92","20.03","","-3.51%"
"11/08/2021","20.79","21.05","21.41","20.73","","4.00%"
"11/05/2021","19.99","20.14","20.58","19.41","","4.39%"
"11/04/2021","19.15","19.91","20.15","19.10","","-5.39%"
"11/03/2021","20.24","20.12","20.76","19.84","","-0.44%"
"11/02/2021","20.33","19.06","20.66","19.02","","1.50%"
"11/01/2021","20.03","20.36","21.08","19.92","","3.46%"
"10/29/2021","19.36","19.44","19.98","19.10","","1.47%"
"10/28/2021","19.08","19.01","19.44","18.58","","-0.26%"
"10/27/2021","19.13","19.85","20.25","19.12","","2.96%"
"10/26/2021","18.58","18.84","18.99","18.39","","-0.91%"
"10/25/2021","18.75","19.86","20.35","18.69","","-3.20%"
"10/22/2021","19.37","20.12","20.31","19.31","","-3.97%"
"10/21/2021","20.17","20.49","21.18","19.94","","-0.25%"
"10/20/2021","20.22","20.49","20.63","20.06","","-1.32%"
"10/19/2021","20.49","20.80","20.81","20.29","","-3.94%"
"10/18/2021","21.33","22.50","23.06","21.28","","-1.75%"
"10/15/2021","21.71","22.97","23.39","21.71","","-9.80%"
"10/13/2021","24.07","24.07","24.07","24.07","","0.00%"
